,QuestionId,Answer_Source,answer,misconception_source,MisconceptionId,ConstructName,QuestionText,MisconceptionName
7361,1745,AnswerDText,\( 60 \mathrm{~cm} \),MisconceptionDId,423.0,Use the properties of an equilateral triangle to find missing lengths,"Triangle \( A B C \) is an equilateral triangle. Find length \(AC\). ![A triangle with vertices labelled A, B, C. Side BC is 8cm, side AC is labelled with a question mark.]()",Does not know the meaning of equilateral
7364,1748,AnswerDText,This is not a reflection,MisconceptionDId,268.0,"Describe a reflection in a diagonal line by giving the line of reflection as an equation, where the line of reflection lies on the edge or outside the object","Which line gives the reflection of shape \( P \) onto shape Q? ![A coordinate grid with two right angled triangles drawn, labelled P and Q. P has the coordinates: (2,5) (2,8) and (4,5). Q has the coordinates: (5,2) (8,2) and (5,4).]()",Believes lines of reflection must be vertical or horizontal
7365,1749,AnswerDText,\( 0.7 \% \),MisconceptionDId,61.0,Convert decimals less than 1 with 2 decimal place to percentages,What is \( 0.07 \) written as a percentage?,Multiplies by 10 instead of 100 when converting decimal to percentage
7372,1756,AnswerDText,\( 23.00 \),MisconceptionDId,329.0,Convert integer percentages with 2 digits to decimals ,How do you write \( 23 \% \) as a decimal?,Does not understand a percentage is out of 100
7373,1757,AnswerDText,"\( -1,-4,-10 \)",MisconceptionDId,2316.0,"Given a description of an ascending sequence using quadratics in words, write some terms of that sequence",![Square then subtract \( 2 \)]() The first three terms of which sequence below is produced by this term-to-term rule?,Mixes up squaring and multiplying by 2 or doubling
7374,1758,AnswerDText,"![A function machine which has 4 parts joined by arrows pointing from left to right. ""y"" is the first part, written on the left, followed by a horizontal arrow pointing to a rectangle that has ""+ 4"" written inside it, followed by a horizontal arrow pointing to a rectangle that has ""square"" written inside it, followed by a horizontal arrow pointing to ""𝑥""]()",MisconceptionDId,2389.0,Express a non-linear equation as a function machine,Which function machine matches the equation \( y=x^{2}+4 ? \),"When using a function machine, confuses the input and the output."
7375,1759,AnswerDText,The modal use of water,MisconceptionDId,1769.0,Interpret a pie chart,"This pie chart shows how an average American household uses water.

Which of the following can not be found from this pie chart? ![A pie chart showing multiple sections: Toilet 26.7%, Leaks 13.7%, Other 5.3%, Clothes Washer 21.7%, Faucet 15.7%, Shower 16.8% ]()",Does not know how to read information off a pie chart
7376,1760,AnswerDText,Cannot be simplified,MisconceptionDId,578.0,Add surds in the form va + vb,"\( \sqrt{12}+\sqrt{27} \) Simplify, if possible.",Does not recognise when a surd can be simplified
7377,1761,AnswerDText,\( 210^{\circ} \),MisconceptionDId,1250.0,Use a protractor to measure angles between 180° and 270°,"What is the size of the marked angle? ![A 360 degree protractor with 2 red lines and a pink sector marking out a reflex angle being measured by the protractor. The outer scale goes from 0 to 360 clockwise. The angle is between one red line that is at 0 (outer scale) and 180 (inner scale), clockwise  to the other red line that is half way between 210 and 220 (outer scale) and halfway between 330 and 320 (inner scale).
]()",Correct scale but wrong value on protractor reading.
7382,1766,AnswerDText,\( \frac{37}{20} \leq n \),MisconceptionDId,220.0,Solve linear inequalities in one variable that require three or more steps where the variable appears on one side of the equation ,"Solve
\[
36 \leq 4(5 n-1)
\]",Only multiplies the first term in the expansion of a bracket
7383,1767,AnswerDText,\( -7 \),MisconceptionDId,1214.0,"Solve one-step linear equations requiring addition or subtraction, with all positive integers","Isaac is solving an equation. This is the left-hand side of two lines of working from Isaac's book. Isaac always records what operation he has done to both sides of the equation.
What operation should replace the star? ![The image shows two lines of working and an arrow from the top line to the bottom line with a star next to it where the operation would be labelled. The top line of working is x - 7 = ..., and the bottom line is x = ...]()","When solving an equation, uses the same operation rather than the inverse."
7386,1770,AnswerDText,\( 57 \),MisconceptionDId,2340.0,Solve problems that combine addition or subtraction with multiplication,"There are \( 7 \) shelves of plates. Three of the shelves hold \( 17 \) plates each. Two of the shelves hold \( 21 \) plates each. The other shelves hold \( 19 \) plates each.
How many plates are there in total?",Does not recognise when to find a multiple from a worded question
7387,1771,AnswerDText,None of these,MisconceptionDId,1828.0,Use inequality notation to order fractions whose denominators are multiples of the same number ,"Which symbol makes the following statement correct?
\(
\frac{3}{4}\space \square\space \frac{5}{8}
\)",Does not understand inequality notation
7388,1772,AnswerDText,\( 180^{\degree} \),MisconceptionDId,773.0,Work out the size of each interior angle in a regular polygon,What is the size of each interior angle in a regular octagon?,Does not understand to find each interior angle of a regular polygon you divide the sum by the number of sides
7389,1773,AnswerDText,\( 0.027 \),MisconceptionDId,2481.0,Multiply two decimals together with the same number of decimal places,\( 0.3 \times 0.9= \),"When multiplying decimals, divides by the wrong power of 10 when reinserting the decimal"
7392,1776,AnswerDText,\( 21 \),MisconceptionDId,1532.0,Interpret what the numbers in each region of a double Venn diagram mean,"All the students in a class were asked if they have a brother, sister, both or none.

The Venn Diagram shows the results. ![A Venn diagram with two sets, one labelled Brother and one labelled Sister. The number 10 is written in Brother without the intersection , number 5 is in Sister without the intersection, the number 7 is in the intersection of Brother and Sister. The number 9 is outside the circles.]() How many students are in the class?",Forgets to include values outside of the Venn diagram when finding the total
7394,1778,AnswerDText,\( 1 \mathrm{~cm} \),MisconceptionDId,396.0,Calculate the area of a trapezium where the dimensions are given in the same units,"Sally wants to calculate the area of this trapezium using the formula: Area \( =\left(\frac{a+b}{2}\right) h \) ![A trapezium with the parallel sides labelled 5cm and 1cm, the slant height labelled 6cm and the perpendicular height labelled 4cm.]() What is the values of \( h \) ?",Does not recognise the height of a trapezium as the perpendicular length between the parallel sides
7395,1779,AnswerDText,\( 7 \),MisconceptionDId,870.0,"Identify and count the faces, vertices and edges of a 3D shape",How many vertices does this shape have? ![cuboid](),Only counts visible vertices
7396,1780,AnswerDText,![\( \triangle=11 \)](),MisconceptionDId,2427.0,"Calculate the midpoint between two coordinates in 2D, where all the values are positive integers","Millie is working out the midpoint of these two points. What should replace the triangle? ![An x and y axis showing 3 points. (1,8) (star, triangle) and (7,3)]()",Does not divide by 2 when finding midpoint
7398,1782,AnswerDText,Neither A nor B,MisconceptionDId,725.0,Find missing angles using angles on a straight line,"Which calculation is a correct procedure to find the angle marked [?]
A
\( 360-(54 \times 2) \)
B
\( 180-54 \) ![Two intersecting lines and one adjacent line. One line is marked with the angle 54 degrees. Between the two adjacent lines there is a box with a question mark in it [?]]()",Does not know that angles on a straight line sum to 180 degrees
7400,1784,AnswerDText,\( h=13.3 \mathrm{~cm} \),MisconceptionDId,1883.0,"Given the area of a trapezium, calculate a missing dimension","The area of this trapezium is \( 40 \mathrm{~cm}^{2} \). What would the perpendicular height, \( h \), of the trapezium be? ![Trapezium with parallel sides of lengths 6cm and 10cm]()",Uses only the base and perpendicular height when calculating the area of a trapezium
7401,1785,AnswerDText,"\( 876,000 \)",MisconceptionDId,1248.0,Round integers to the nearest other power of 10,"What is \( 875,599 \) rounded to the nearest \( 10,000 \) ?",Rounds to the wrong degree of accuracy (rounds too little)
7402,1786,AnswerDText,\( 51 \),MisconceptionDId,134.0,Interpret a bar chart,"The bar chart shows the drinks sold in Caroline's Café on Monday and Tuesday last week.

Approximately how many Hot Chocs were sold on Tuesday? ![Composite bar chart with four bars, labelled Tea, Coffee, Hot Choc and Cans. Each bar has two sections, the lower one shows how many sold on Monday and the upper one showing Tuesdays sales. The vertical scale has 5 ticks between 0 and 50, 50 and 100 etc.
The Hot Chocs bar's lower section is 5 ticks high, and the whole bar is 2 ticks above 100 on the vertical scale.]()",Misreads scale
7404,1788,AnswerDText,\( 300 \),MisconceptionDId,1016.0,Recognise the place value of each digit in integers,"What is the value of the \( 3 \) in the number
\[
7,359,250 \text { ? }
\]",Confuses the hundreds and hundred thousands place value columns
7406,1790,AnswerDText,\( 4 \),MisconceptionDId,743.0,Find the area of rectilinear shapes by counting squares,What is the area of this shape? ![A square cm grid showing a shape made up of 3 small squares.](),"When calculating the area of a rectilinear compound shape, calculates the are of the surrounding rectangle"
7407,1791,AnswerDText,Need more information,MisconceptionDId,31.0,"Given an equation, form  or identify related equations","\(k<\frac{m}{3} +1\)
Using the diagram on the right, is the expression above... ![A bar model where the same length is represented by either 3 lengths of 'k' or 1 length of 'm']()",Does not understand bar modelling in algebra
7408,1792,AnswerDText,Not enough information in the diagram,MisconceptionDId,618.0,Calculate the perimeter of a rectilinear shape by adding lengths expressed in the same units,What is the perimeter of this rectangle? ![A rectangle with a base length of 8 cm and a perpendicular height of 5 cm.](),Does not recall rectangle side length property
7410,1794,AnswerDText,\( 7.40 \),MisconceptionDId,2308.0,Convert fractions less than 1 to terminating decimals of 3 or more decimal places,Convert \( \frac{7}{40} \) into a decimal,Converts a fraction to a decimal by placing a decimal point between the numerator and denominator
7411,1795,AnswerDText,\( \frac{6}{8} \),MisconceptionDId,1206.0,Subtract proper fractions with different denominators where one is a multiple of the other,\( \frac{7}{8}-\frac{1}{4}= \),Does not understand how to maintain equivalence in fractions
